D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
170072672,0,0,0,0,0,0,0,0,0,0,0
170072675,0,0,0,0,0,0,0,0,0,0,0
170072676,2,2,0,0,0,2,0,0,0,0,0
170072687,1,0,0,0,0,0,0,0,0,0,0
170072694,2,1,1,1,1,2,2,2,2,2,2
170072700,0,0,0,0,0,0,0,0,0,0,0
170072701,2,1,0,0,0,0,0,0,0,0,0
170072727,0,1,1,0,0,0,0,0,0,1,0
170072728,2,1,1,0,0,0,0,0,0,0,0
170072744,0,0,0,0,0,0,0,0,0,0,0
170072752,0,0,0,0,0,0,0,0,0,0,0
170072762,1,1,1,2,0,1,1,1,1,1,1
170072768,2,1,2,1,1,1,1,1,2,1,1
170072802,2,0,2,1,1,1,1,1,1,1,1
170072803,0,1,1,0,0,0,0,0,0,0,0
170072813,2,2,0,0,0,0,0,0,0,0,0
170072814,2,2,1,0,0,0,1,0,2,0,0
170072816,0,0,0,0,0,0,0,0,0,0,0
170072818,1,1,2,0,0,0,0,0,0,0,0
170072819,0,1,0,0,0,0,0,0,0,0,0
170072918,1,1,1,1,1,1,1,1,1,1,1
170072919,1,2,2,1,0,2,1,1,1,1,2
170072942,1,1,2,0,0,1,2,1,0,0,1
170072948,0,0,0,0,0,0,0,0,0,0,0
170072976,2,2,1,0,0,0,0,0,0,0,0
170072987,1,1,1,1,1,1,1,1,1,1,1
170072998,2,2,1,1,1,1,1,1,1,1,1
170073070,0,0,0,0,0,0,0,0,0,0,0
170073076,0,0,0,0,0,0,0,0,0,0,0
170073124,0,0,2,0,0,2,0,0,0,2,2
170073125,2,1,2,1,1,1,1,1,1,1,1
170073138,2,2,2,0,2,1,1,1,1,1,1
170073164,1,1,1,1,1,1,1,0,1,2,1
170073199,0,0,0,0,0,0,0,0,0,0,0
170073201,2,1,0,0,0,0,0,0,0,0,0
170073309,2,0,0,0,0,0,0,0,0,0,0
170073330,2,2,1,1,0,0,0,1,0,0,0
170073335,1,1,1,1,1,1,1,1,1,1,1
170073339,1,1,1,2,1,1,1,1,1,1,1
170073345,1,1,1,1,1,1,1,1,1,1,1
170073353,0,0,0,0,0,0,1,0,0,0,0
170073354,0,2,2,2,2,2,2,2,2,2,2
170073355,2,2,2,2,2,0,0,0,0,0,0
170073362,0,0,0,0,0,0,0,0,0,0,0
170073363,1,1,1,1,1,1,1,1,1,1,1
170073432,2,0,0,0,0,0,0,0,0,0,0
170073433,0,0,0,0,0,1,0,0,0,0,0
170073449,1,1,0,0,0,0,0,0,0,0,0
170073457,2,2,2,1,1,2,2,2,1,1,1
170073458,0,0,0,0,0,2,0,0,0,0,0
170073459,2,2,2,1,1,2,2,2,1,2,2
170073463,0,2,1,0,0,0,0,1,0,0,0
170073471,1,1,1,1,1,1,1,1,1,1,1
170073472,1,1,1,1,1,1,1,1,1,1,1
170073479,2,1,1,1,1,1,1,1,1,1,1
170073480,2,0,0,0,0,0,0,0,0,0,0
170073482,2,0,2,1,1,2,0,2,0,0,0
170073484,2,2,2,0,1,2,2,2,1,1,2
