D_INTERVIEW,Q165,Q166,Q167,Q168
276070706,1,1,2,1
276070707,2,2,2,2
276070708,2,2,2,2
276070709,1,2,2,2
276070710,1,1,2,2
276070711,1,2,2,2
276070712,1,1,2,1
276070713,1,1,1,1
276070714,2,2,2,2
276070715,1,1,1,1
276070716,1,1,2,1
276070717,1,1,1,1
276070718,1,2,2,2
276070719,1,2,2,2
276070720,1,2,2,2
276070721,1,2,2,2
276070722,1,2,2,2
276070723,-1,-1,-1,-1
276070724,1,1,2,2
276070725,1,2,2,2
276070726,1,-1,-1,-1
276070727,1,2,1,1
276070728,1,1,2,1
276070729,2,-1,2,2
276070730,2,2,2,2
276070731,2,2,2,2
276070732,1,1,-1,1
276070733,1,2,2,2
276070734,2,2,2,2
276070735,1,1,-2,-2
276070736,2,-1,2,2
276070737,1,1,1,1
276070738,1,1,1,1
276070739,2,1,2,1
276070740,1,2,2,2
276070741,1,1,1,1
276070742,1,2,2,2
276070743,1,1,2,1
276070744,2,-1,2,2
276070745,2,2,2,2
276070746,1,2,2,2
276070747,2,2,2,2
276070748,2,2,2,2
276070749,1,-1,-1,1
276070750,2,1,2,2
276070751,1,1,1,1
276070752,-2,-2,-2,-2
276070753,1,-1,-1,-1
276070754,1,2,1,1
276070755,1,-1,-1,-1
276070756,2,2,2,2
276070757,2,2,2,2
276070758,1,2,2,2
276070759,2,2,2,2
276070760,2,2,2,2
276070761,1,1,1,1
276070762,1,1,2,1
276070763,2,2,2,2
276070764,1,1,2,1
276070765,1,1,2,1
276070766,1,2,2,2
276070767,2,2,2,2
276070768,1,2,2,2
276070769,2,2,2,2
276070770,2,2,2,2
276070771,1,1,2,2
276070772,1,1,2,1
276070773,1,1,2,2
276070774,1,1,2,1
276070775,2,2,2,2
276070776,2,2,2,2
276070777,1,1,2,1
276070778,2,2,2,2
276070779,1,2,2,2
276070780,2,2,2,2
276070781,1,2,2,1
276070782,1,1,2,2
276070783,1,1,2,1
276070784,1,2,2,2
276070785,1,2,2,2
276070786,1,-1,2,-1
276070787,1,-1,2,2
276070788,2,2,2,2
276070789,1,2,2,2
276070790,1,2,2,2
276070791,2,2,2,2
276070792,-1,1,2,2
276070793,2,2,2,2
276070794,1,1,2,2
276070795,1,1,-1,1
276070796,1,1,2,1
276070797,1,-1,2,2
276070798,-1,2,2,2
276070799,2,2,2,2
276070800,1,1,2,1
276070801,1,2,2,2
276070802,2,2,2,2
276070803,1,2,2,2
276070804,2,2,2,2
276070805,1,-1,-1,-1
276070806,1,1,2,2
276070807,2,-1,-1,-1
276070808,1,1,1,1
276070809,1,1,1,1
276070810,1,-1,-1,-1
276070811,2,2,2,2
276070812,1,1,2,2
276070813,1,1,1,1
276070814,1,2,2,2
276070815,1,1,1,1
276070816,1,1,1,1
276070817,2,2,2,2
276070818,2,1,2,2
276070819,1,1,1,1
276070820,1,2,2,2
276070821,1,1,2,1
276070822,2,2,2,2
276070823,1,1,2,1
276070824,1,2,2,2
276070825,1,2,2,2
276070826,2,2,2,2
276070827,2,2,2,2
276070828,2,2,2,2
276070829,-1,-1,2,2
276070830,2,2,2,2
276070831,1,1,2,1
276070832,2,2,2,2
276070833,2,2,2,2
276070834,1,1,2,2
276070835,2,-1,2,2
276070836,2,2,2,2
276070837,2,2,2,2
276070838,1,2,2,1
276070839,1,1,2,1
276070840,1,1,-2,-2
276070841,1,-1,2,1
276070842,-1,-1,-1,-1
276070843,1,2,2,2
276070844,1,2,2,2
276070845,2,2,2,2
276070846,1,1,1,1
276070847,2,2,2,2
276070848,1,1,2,1
276070849,2,2,2,2
276070850,2,2,2,2
276070851,2,2,2,2
276070852,2,2,2,2
276070853,1,1,1,1
276070854,1,2,2,1
276070855,2,2,2,2
276070856,1,2,2,2
276070857,1,-1,2,2
276070858,2,1,1,1
276070859,1,1,2,2
276070860,1,1,2,2
276070861,2,1,2,-1
276070862,2,2,2,2
276070863,1,1,2,2
276070864,2,2,2,2
276070865,1,2,2,2
276070866,1,1,2,-1
276070867,2,2,1,1
276070868,1,1,1,1
276070869,2,2,2,2
276070870,2,2,2,2
276070871,2,2,2,2
276070872,2,2,2,2
276070873,2,2,2,2
276070874,2,2,2,2
276070875,1,1,2,2
276070876,1,1,1,1
276070877,2,2,2,2
276070878,1,1,1,1
276070879,-2,-2,-2,-2
276070880,2,2,2,-1
276070881,1,1,2,1
276070882,2,2,2,2
276070883,2,2,2,2
276070884,1,1,2,1
276070885,2,2,2,2
276070886,2,2,2,2
276070887,2,2,2,2
276070888,2,2,2,2
276070889,1,-1,2,2
276070890,1,1,2,1
276070891,1,1,1,1
276070892,1,1,2,1
276070893,1,2,2,2
276070894,2,2,2,2
276070895,2,2,2,2
276070896,2,2,2,2
276070897,2,2,2,2
276070898,2,1,2,2
276070899,1,1,1,1
276070900,1,-1,2,2
276070901,1,1,2,1
276070902,2,-1,2,-1
276070903,2,2,2,2
276070904,2,2,2,2
276070905,2,2,2,2
276070906,-2,-2,-2,-2
276070907,-1,-1,2,2
276070908,1,2,2,1
276070909,2,2,2,2
276070910,2,1,1,1
276070911,2,2,2,2
276070912,1,1,1,1
276070913,1,2,2,2
276070914,2,2,2,2
276070915,2,2,2,2
276070916,2,2,2,2
276070917,2,2,2,2
276070918,1,2,-1,-1
276070919,2,2,2,2
276070920,1,2,2,2
276070921,1,2,2,2
276070922,1,1,2,1
276070923,1,1,2,1
276070924,2,2,2,2
276070925,2,2,2,2
276070926,2,2,2,2
276070927,2,1,2,2
276070928,1,1,2,1
276070929,2,1,2,2
276070930,1,1,2,1
276070931,-1,1,2,2
276070932,2,-1,2,2
276070933,2,2,2,2
276070934,1,1,-1,-1
276070935,1,1,1,1
276070936,1,1,2,1
276070937,1,1,1,1
276070938,1,2,2,2
276070939,1,1,1,1
276070940,1,1,2,1
276070941,2,2,2,2
276070942,1,-1,2,-1
276070943,1,1,1,1
276070944,2,2,2,2
276070945,2,2,2,2
276070946,1,2,2,2
276070947,1,2,2,2
276070948,2,2,2,2
276070949,1,2,2,2
276070950,-1,-1,-1,-1
276070951,2,2,2,2
276070952,1,-1,2,2
276070953,1,-1,2,2
276070954,2,2,2,2
276070955,1,1,2,2
276070956,2,2,2,2
276070957,1,1,2,2
276070958,1,1,2,2
276070959,1,2,2,2
276070960,1,1,1,1
276070961,2,2,2,2
276070962,1,2,2,2
276070963,2,2,2,2
276070964,2,2,2,2
276070965,1,1,1,1
276070966,2,2,2,2
276070967,1,2,2,2
276070968,1,1,1,1
276070969,2,2,2,2
276070970,1,1,1,1
276070971,1,1,1,1
276070972,1,1,1,1
276070973,2,1,2,2
276070974,1,1,2,1
276070975,2,2,2,2
276070976,1,1,2,2
276070977,2,2,2,2
276070978,1,2,2,2
276070979,-1,-1,-1,-1
276070980,2,2,2,2
276070981,1,1,1,1
276070982,1,2,2,-1
276070983,2,2,2,2
276070984,1,1,2,1
276070985,2,2,2,2
276070986,1,2,1,1
276070987,1,1,1,1
276070988,2,2,2,2
276070989,1,2,2,2
276070990,2,2,2,2
276070991,-1,1,2,2
276070992,1,1,1,1
276070993,2,2,2,2
276070994,1,1,1,1
276070995,2,2,2,2
276070996,1,1,2,1
276070997,2,1,2,2
276070998,1,1,1,1
276070999,1,2,2,2
276071000,1,1,1,1
276071001,2,2,2,2
276071002,1,1,1,1
276071003,2,2,2,2
276071004,2,2,2,2
276071005,1,2,2,2
276071006,2,1,2,1
276071007,1,1,1,1
276071008,2,2,2,2
276071009,1,1,1,1
276071010,-1,2,-1,1
276071011,1,1,2,1
276071012,1,1,2,1
276071013,2,2,2,2
276071014,2,2,2,2
276071015,1,2,2,2
276071016,1,1,1,1
276071017,1,1,1,1
276071018,2,2,2,2
276071019,2,2,2,2
276071020,-2,-1,-1,-1
276071021,2,2,2,2
276071022,1,1,2,2
276071023,1,1,1,1
276071024,2,2,2,2
276071025,-1,-1,-1,-1
276071026,2,2,2,2
276071027,2,2,2,2
276071028,-1,2,2,2
276071029,1,2,2,2
276071030,2,1,1,1
276071031,1,1,2,1
276071032,1,1,2,2
