D_INTERVIEW,Q165,Q166,Q167,Q168
840071759,1,1,1,1
840071760,1,1,-2,-2
840071761,1,1,1,1
840071762,2,2,1,1
840071763,1,1,1,1
840071764,1,1,1,-2
840071765,1,2,1,1
840071766,1,1,1,1
840071767,1,1,1,1
840071768,1,1,1,1
840071769,1,1,-2,-2
840071770,1,1,1,1
840071771,1,1,1,1
840071772,1,2,1,2
840071773,1,1,2,1
840071774,1,1,1,1
840071775,1,2,1,1
840071776,1,1,1,1
840071777,2,1,1,1
840071778,1,1,1,1
840071779,1,1,1,1
840071780,1,1,1,1
840071781,1,1,1,1
840071782,1,1,1,1
840071783,2,2,2,2
840071784,1,1,1,1
840071785,2,2,2,2
840071786,1,1,1,1
840071787,2,2,2,2
840071788,1,1,1,1
840071789,1,-1,1,1
840071790,1,1,1,1
840071791,1,1,1,1
840071792,1,1,1,1
840071793,1,1,1,1
840071794,1,1,1,2
840071795,1,2,2,2
840071796,2,2,2,2
840071797,1,1,1,1
840071798,1,1,1,1
840071799,1,2,2,2
840071800,1,1,2,1
840071801,1,1,2,2
840071802,1,1,1,1
840071803,2,1,2,2
840071804,1,1,1,1
840071805,2,1,2,2
840071806,1,1,1,1
840071807,1,1,1,1
840071808,1,1,1,1
840071809,1,2,1,1
840071810,1,1,1,1
840071811,2,2,1,1
840071812,1,1,1,1
840071813,1,1,2,1
840071814,2,1,1,1
840071815,1,1,1,1
840071816,1,1,2,1
840071817,1,1,1,1
840071818,1,1,1,1
840071819,1,1,1,1
840071820,1,1,1,1
840071821,1,1,1,2
840071822,1,2,1,1
840071823,1,1,1,1
840071824,1,1,1,1
840071825,1,1,2,1
840071826,1,1,-2,1
840071827,1,1,1,1
840071828,1,1,2,1
840071829,1,1,1,1
840071830,1,1,1,1
840071831,1,1,1,1
840071832,1,-2,1,1
840071833,1,1,1,1
840071834,2,2,2,2
840071835,1,1,1,1
840071836,1,1,1,1
840071837,1,1,1,1
840071838,1,1,2,2
840071839,1,1,1,1
840071840,1,1,1,1
840071841,1,-2,1,1
840071842,1,1,1,1
840071843,1,2,2,2
840071844,2,2,2,2
840071845,1,1,1,1
840071846,1,1,1,1
840071847,1,2,2,2
840071848,1,2,1,1
840071849,2,1,1,1
840071850,2,2,2,2
840071851,1,1,1,1
840071852,1,1,1,1
840071853,1,1,1,1
840071854,1,1,1,1
840071855,1,1,1,1
840071856,1,1,1,1
840071857,1,1,1,1
840071858,1,2,1,1
840071859,1,1,1,2
840071860,1,1,2,1
840071861,1,1,-2,1
840071862,1,1,1,1
840071863,1,1,1,1
840071864,1,1,1,1
840071865,1,1,1,1
840071866,1,1,1,1
840071867,1,1,1,1
840071868,1,1,1,1
840071869,1,1,1,1
840071870,1,1,1,1
840071871,1,1,1,1
840071872,2,1,2,2
840071873,1,1,1,2
840071874,1,2,2,2
840071875,1,1,2,1
840071876,-2,-2,-2,-2
840071877,1,1,1,1
840071878,1,1,1,1
